Species,Tlength_mm,Blength_mm,Wt_g,Habitat,Locomotion,Order,Family,Genus,Prehensility
Dasycercus_cristicauda,123.75,137.5,120,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,NA,No
Pseudantechinus_woolleyae,77.5,105.75,40,Rocky,Terrestrial,Dasyuromorphia,Dasyuridae,Pseudantechinus,No
Pseudantechinus_roryi,77,85,23.5,Rocky,Terrestrial,Dasyuromorphia,Dasyuridae,Pseudantechinus,No
Pseudantechinus_macdonnellensis,78.75,100,32.5,Rocky,Terrestrial,Dasyuromorphia,Dasyuridae,Pseudantechinus,No
Pseudantechinus_mimulus,67,81,17.75,Rocky,Terrestrial,Dasyuromorphia,Dasyuridae,Pseudantechinus,No
Parantechinus_apicalis,102.5,142.5,74.5,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,Pseudantechinus,No
Dasykaluta_rosamondae,62.5,98.75,28.75,Arid,Terrestrial,Dasyuromorphia,Dasyuridae,NA,No
Sarcophilus_harrisii,251,611,9000,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,NA,No
Dasyurus_hallucatus,267.25,299.75,597.5,Rocky,Scansorial,Dasyuromorphia,Dasyuridae,Dasyurus,No
Dasyurus_maculatus,420,484.75,2475,Rainforest,Terrestrial,Dasyuromorphia,Dasyuridae,Dasyurus,No
Dasyurus_viverrinus,222.5,362.5,1150,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Dasyurus,No
Dasyurus_geoffroii,280,332.5,1160,Forest_shrub,Terrestrial,Dasyuromorphia,Dasyuridae,Dasyurus,No
Phascolarctos_cinereus,1,745,10600,Forest_shrub,Arboreal,Diprotodontia,NA,NA,No
Vombatus_ursinus,25,995,30500,Forest_shrub,Terrestrial,Diprotodontia,NA,NA,No
Lasiorhinus_latifrons,39.5,977.5,27125,Arid,Terrestrial,Diprotodontia,NA,NA,No
Burramys_parvus,137,110.5,54.25,Forest_shrub,Terrestrial,Diprotodontia,Burramyidae,NA,Yes
Cercartetus_caudatus,139.5,105.5,32.5,Rainforest,Arboreal,Diprotodontia,Burramyidae,NA,Yes
Cercartetus_concinnus,77,82.5,14.5,Arid,Scansorial,Diprotodontia,Burramyidae,NA,Yes
Cercartetus_nanus,90,90,29,Rainforest,Arboreal,Diprotodontia,Burramyidae,NA,Yes
Cercartetus_lepidus,67.5,61.5,8,Arid,Scansorial,Diprotodontia,Burramyidae,NA,Yes
Wyulda_squamicaudata,300,352.5,1450,Forest_shrub,Arboreal,Diprotodontia,Phalangeridae,NA,Yes
Trichosurus_vulpecula,325,450,2625,Forest_shrub,Arboreal,Diprotodontia,Phalangeridae,NA,Yes
Trichosurus_caninus,380,450,3500,Rainforest,Scansorial,Diprotodontia,Phalangeridae,NA,Yes
Phalanger_mimicus,315,375,1850,Rainforest,Arboreal,Diprotodontia,Phalangeridae,NA,Yes
Spilocuscus_maculatus,372.5,464,3200,Rainforest,Arboreal,Diprotodontia,Phalangeridae,NA,Yes
Acrobates_pygmaeus,73,68.5,11.5,Forest_shrub,Arboreal,Diprotodontia,NA,NA,No
Tarsipes_rostratus,87.5,77.5,10.5,Forest_shrub,Scansorial,Diprotodontia,NA,NA,Yes
Petaurus_norfolcensis,275,205,245,Forest_shrub,Arboreal,Diprotodontia,Petauridae,NA,Yes
Petaurus_breviceps,187.5,185,126.25,Forest_shrub,Arboreal,Diprotodontia,Petauridae,NA,Yes
Dactylopsila_trivirgata,345,262,439.5,Rainforest,Arboreal,Diprotodontia,Petauridae,NA,Yes
Gymnobelideus_leadbeateri,162.5,160,130.25,Forest_shrub,Arboreal,Diprotodontia,Petauridae,NA,Yes
Pseudochirops_archeri,329,362.75,1186.25,Rainforest,Arboreal,Diprotodontia,Pseudocheridae,NA,Yes
Petropseudes_dahli,243.25,360.75,1640,Rocky,Scansorial,Diprotodontia,Pseudocheridae,NA,Yes
Hemibelideus_lemuroides,328,347,977.5,Rainforest,Arboreal,Diprotodontia,Pseudocheridae,NA,Yes
Petauroides_volans,555,405,1300,Forest_shrub,Arboreal,Diprotodontia,Pseudocheridae,NA,No
Pseudocheirus_peregrinus,325,325,800,Forest_shrub,Arboreal,Diprotodontia,Pseudocheridae,NA,Yes
Pseudochirulus_herbertensis,393.75,356.75,1086,Rainforest,Arboreal,Diprotodontia,Pseudocheridae,NA,Yes
Hypsiprymnodon_moschatus,141.75,222.5,532,Rainforest,Saltatorial,Diprotodontia,NA,NA,No
Potorous_longipes,397.5,320,1900,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Potorous_tridactylus,229.5,333.5,1097.5,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Potorous_gilbertii,220.75,322.75,989.5,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Aepyprymnus_rufescens,358.25,397,2300,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Bettongia_tropica,312,369.25,1150,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Bettongia_lesueur,285,360,1280,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Bettongia_gaimardi,316.5,323.5,1725,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Bettongia_penicillata,305,323.75,1181.25,Forest_shrub,Saltatorial,Diprotodontia,Potoroidae,NA,No
Lagostrophus_fasciatus,295,425,1650,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Setonix_brachyurus,465,270,3000,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Onychogalea_fraenata,430,545,5750,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Onychogalea_unguifera,645,580,6625,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Lagorchestes_conspicillatus,450,440,3175,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Lagorchestes_hirsutus,272.5,355,1446.25,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Wallabia_bicolor,730,746.25,14625,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_giganteus,702,1522.25,40750,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_fuliginosus,670.75,1472,36500,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_rufus,813.75,1045,42500,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_antilopinus,795.5,924.5,27025,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_robustus,683.75,769,25375,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_irma,755,1200,8000,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_rufogriseus,758.25,800.75,16550,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_dorsalis,657,633.5,10625,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_agilis,704.75,720,16750,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_eugenii,400,605,6500,Arid,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_parma,486.25,496,4500,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Macropus_parryi,873,807,15500,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Thylogale_billardierii,368.5,595,7050,Forest_shrub,Saltatorial,Diprotodontia,Macropodidae,NA,No
Thylogale_thetis,355,427.5,4425,Rainforest,Saltatorial,Diprotodontia,Macropodidae,NA,No
Thylogale_stigmatica,397.75,478,4300,Rainforest,Saltatorial,Diprotodontia,Macropodidae,NA,No
Dendrolagus_lumholtzi,666.25,581.25,7025,Rainforest,Arboreal,Diprotodontia,Macropodidae,NA,No
Dendrolagus_bennettianus,805,678.75,10525,Rainforest,Arboreal,Diprotodontia,Macropodidae,NA,No
Petrogale_persephone,612,563.5,6525,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_xanthopus,627.5,572.5,9000,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
Petrogale_burbidgei,277,329.5,1195,Rocky,Saltatorial,Diprotodontia,Macropodidae,NA,No
