Scientific_name	Tail_length_M	Body_length_M	Weight_M	Tail_length_F	Body_length_F	Weight_F
Macropus_fuliginosus	712.5	1585.5	45000	629	1358.5	28000
Macropus_rufus	855	1167.5	57000	772.5	922.5	28000
Macropus_antilopinus	852.5	1015	34800	738.5	834	19250
Macropus_robustus	726	836	33625	641.5	702	17125
Macropus_irma	755	1200	8000	755	1200	8000
Macropus_rufogriseus	789.5	829	19350	727	772.5	13750
Macropus_dorsalis	744	718	14850	570	549	6400
Macropus_agilis	766	782.5	21500	643.5	657.5	12000
Macropus_eugenii	415	635	8000	385	575	5000
Macropus_parma	516.5	505	5000	456	487	4000
Macropus_parryi	953	869.5	20000	793	744.5	11000
Thylogale_billardierii	417	630	7900	320	560	6200
Thylogale_thetis	390	460	5800	320	395	3050
Thylogale_stigmatica	422.5	503	5250	373	453	3350
Dendrolagus_lumholtzi	727.5	615	7625	605	547.5	6425
Dendrolagus_bennettianus	830	735	12600	780	622.5	8450
Petrogale_persephone	636.5	562.5	7250	587.5	564.5	5800
Petrogale_xanthopus	635	565	9000	620	580	9000
Petrogale_burbidgei	NA	NA	NA	NA	NA	NA
Petrogale_concinna	NA	NA	NA	NA	NA	NA
Petrogale_brachyotis	468.5	492.5	4400	420	445	3450
Petrogale_rothschildi	642	562	5800	576	494.5	4500
Petrogale_purpureicollis	534	499	5200	491.5	508.5	4200
Petrogale_lateralis	551.5	511	4650	517.5	460	3600
Petrogale_herberti	585	558.5	5850	540.5	518	4300
Petrogale_penicillata	605	557.5	8200	565	540	6550
Petrogale_assimilis	477	530	4700	497.5	497.5	4300
Petrogale_godmani	580	537.5	5200	510	511.5	4300
Petrogale_coenensis	512.5	552.5	4650	485	475	4100
Petrogale_mareeba	475	486.5	4500	441	462.5	3800
Petrogale_sharmani	516	510	4400	458.5	465	4100
Petrogale_inornata	565	538.5	4500	495	507	4050
