Species,Bl_mm,Tl_mm,Wt_g,Bl_min,Bl_max,Tl_min,Tl_max,Wt_min,Wt_max,Bl_min_M,Bl_max_M,Bl_min_F,Bl_max_F,Tl_min_M,Tl_max_M,Tl_min_F,Tl_max_F,Wt_min_M,Wt_max_M,Wt_min_F,Wt_max_F,Bl_Av_M,Bl_Av_F,Tl_Av_M,Tl_Av_F,Wt_Av_M,Wt_Av_F,Locomotor_use,Clade
Sminthopsis_bindi,,,,,,,,12,20,58,84,52,80,62,105,61,97,,,,,75,72,87,81,,,Terrestrial,Dasyuromorph
Sminthopsis_butleri,88,90,,,,,,15,30,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_crassicaudata,75,55,15,60,90,40,70,10,20,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_dolichura,,,,,,,,,,63,99,63,92,88,109,84,97,11,20,10,21,74.5,73.7,94.6,89.6,14.8,12.4,Terrestrial,Dasyuromorph
Sminthopsis_douglasi,,,,,,,,,,130,135,110,125,120,130,110,120,50,70,40,60,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_gilberti,,,18,81,92,75,92,14,25,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_granulipes,83,60,25,69,88,56,66,18,37,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_griseoventer,,,,,,,,,,68,94,65,88,66,98,65,95,15,25,14,20,85,83,83,81,19,16,NA,Dasyuromorph
Sminthopsis_hirtipes,77,85,15,72,83,72,101,13,19.5,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_leucopus,,,,,,,,16,32,82,112,67,117,73,100,67,96,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_longicaudata,,,18,,,,,15,25,80,100,80,90,200,220,180,200,,,,,,,,,,,Scansorial,Dasyuromorph
Sminthopsis_macroura,85,95,20,70,100,80,110,15,25,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Sminthopsis_murina,,,,,,,,,,76,104,64,92,70,99,68,92,16,28,10,22,81,76,79,76,20,40,Terrestrial,Dasyuromorph
Sminthopsis_ooldea,,,,,,,,,,60,85,55,85,65,95,60,90,9,17,8,15,72,72,79,76,11,11,NA,Dasyuromorph
Sminthopsis_psammophila,97,118,,85,114,106,133,,,,,,,,,,,26,55,25,42,,,,,36,33,Terrestrial,Dasyuromorph
Sminthopsis_virginiae,,,,,,,,,,96,135,90,133,100,135,90,122,31,58,18,34,,,,,,,Scansorial,Dasyuromorph
Sminthopsis_youngsoni,68.5,65.2,10.1,66,71,62,68,8.5,12,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Thylacinus_cynocephalus,,,,1000,1300,500,650,15000,35000,,,,,,,,,,,,,,,,,,,Terrestrial,Dasyuromorph
Acrobates_frontalis,,,,65,85,70,88,10,19,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
Acrobates_pygmaeus,,,,60,77,65,81,8,15,,,,,,,,,,,,,,,,,,,Arboreal,Petauroid
Aepyprymnus_rufescens,,,,,,,,,,345,400,363,480,314,407,322,390,1900,3000,1300,3000,379,383,344,353,2700,2800,Saltatorial,Macropod
Bettongia_gaimardi,323,326,1660,315,332,288,345,1200,2250,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Bettongia_lesueur,360,285,1280,,,,,,,,,,,,,,,,,,,,,,,,,Saltatorial,Macropod
Bettongia_penicillata,,,,,,250,360,,,300,365,280,350,,,,,980,1500,745,1500,,,,,,,Saltatorial,Macropod
Bettongia_tropica,,,,,,,,,,320,430,295,432,287,343,268,350,1000,1300,900,1400,350,364,314,314,1200,1200,Saltatorial,Macropod
