Species,Tlength_mm,Blength_mm,Wt_g,Tl_max,Bl_max,Wt_max,Tl_min,Bl_min,Wt_min,Tl_M,Bl_M,Wt_M,Tl_F,B_F,Wt+F,Locomotor_mode,Prehensility,Habitat
Planigale_gilesi,61.25,67.5,9.875,67.5,75,12.5,55,60,7.25,62.5,70,12.75,60,65,7,Terrestrial,No,Arid
Planigale_tenuirostris,56.75,61.25,6.125,62.5,72.5,8,51,50,4.25,58.5,62.5,6.75,55,60,5.5,Terrestrial,No,Arid
Sminthopsis_crassicaudata,55,75,15,70,90,20,40,60,10,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sminthopsis_bindi,81.25,68.5,16,101,82,20,61.5,55,12,83.5,71,16,79,66,16,Terrestrial,No,Arid
Sminthopsis_virginiae,109.25,113.5,35.25,123.5,134,46,95,93,24.5,117.5,115.5,44.5,101,111.5,26,NA,No,Forest_shrub
Sminthopsis_douglasi,120,125,55,125,130,65,115,120,45,125,132.5,60,115,117.5,50,Terrestrial,No,Arid
Sminthopsis_macroura,95,85,20,110,100,25,80,70,15,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Ningaui_timealeyi,70.75,63.25,6.025,81.5,70.5,8.5,60,56,3.55,79,66,6.55,62.5,60.5,5.5,Terrestrial,No,Arid
Ningaui_yvonneae,62,64.5,10,71,81,14,53,48,6,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Ningaui_ridei,65,66,8.5,71,75,10.5,59,57,6.5,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sminthopsis_longicaudata,200,87.5,20,210,95,25,190,80,15,210,90,20,190,85,20,NA,No,Rocky
Antechinomys_laniger,122.5,86.25,25,145,97.5,25,100,75,25,125,90,30,120,82.5,20,Terrestrial,No,Arid
Sminthopsis_griseoventer,81,78.75,18.25,96.5,91,22,65.5,66.5,14.5,82,81,19.5,80,76.5,17,NA,No,Forest_shrub
Sminthopsis_aitkeni,93.75,82.75,17.5,100,87.5,20,87.5,78,15,98,88.5,22.5,89.5,77,12.5,NA,No,Arid
Sminthopsis_granulipes,61,78.5,27.5,66,88,37,56,69,18,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sminthopsis_hirtipes,86.5,77.5,16.25,101,83,19.5,72,72,13,NA,NA,NA,NA,NA,NA,NA,No,Arid
Sminthopsis_youngsoni,65,68.5,10.25,68,71,12,62,66,8.5,NA,NA,NA,NA,NA,NA,NA,No,Arid
Sminthopsis_psammophila,109.5,99.5,37,113,114,48.5,106,85,25.5,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sminthopsis_ooldea,77.5,71.25,12.25,92.5,85,16,62.5,57.5,8.5,80,72.5,13,75,70,11.5,NA,No,Arid
Sminthopsis_archeri,91.5,93.25,14,96,96,14,87,90.5,14,98.5,102.5,14,84.5,84,14,Terrestrial,No,Forest_shrub
Sminthopsis_gilberti,83.5,86.5,19.5,92,92,25,75,81,14,83.5,86.5,19.5,83.5,86.5,19.5,NA,No,Arid
Sminthopsis_murina,82.25,84,19,95.5,98,25,69,70,13,84.5,90,22,80,78,16,Terrestrial,No,Arid
Sminthopsis_butleri,90,88,22.5,90,88,30,90,88,15,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sminthopsis_dolichura,94.5,79.25,15.5,103,95.5,20.5,86,63,10.5,98.5,81,15.5,90.5,77.5,15.5,Terrestrial,No,Arid
Sminthopsis_leucopus,84,94.5,24,98,114.5,32,70,74.5,16,86.5,97,24,81.5,92,24,Terrestrial,No,Forest_shrub
Phascogale_tapoatafa,198.75,198,201,230,242,261.5,167.5,154,140.5,204.5,210.5,243,193,185.5,159,Arboreal,No,Forest_shrub
Phascogale_calura,135.5,106.25,48.25,144.5,113.5,58,126.5,99,38.5,139.5,113.5,53.5,131.5,99,43,Arboreal,No,Forest_shrub
Antechinus_minimus,79.25,114.5,71.75,92.5,128.5,98.5,66,100.5,45,82.5,121.5,89.5,76,107.5,54,Terrestrial,No,Forest_shrub
Antechinus_swainsonii,94,130,89.5,110.5,164,139,77.5,96,40,100.5,145.5,110.5,87.5,114.5,68.5,Terrestrial,No,Rainforest
Antechinus_godmani,111.5,128.25,72.75,127.5,143,100.5,95.5,113.5,45,121,133,85.5,102,123.5,60,Scansorial,No,Rainforest
Antechinus_stuartii,93.75,102.75,39.25,120,128.5,55.5,67.5,77,23,97,111,50,90.5,94.5,28.5,Terrestrial,No,Forest_shrub
Antechinus_agilis,85.5,94.75,25.25,109.5,126,32.5,61.5,63.5,18,89.5,94.5,30,81.5,95,20.5,Terrestrial,No,Forest_shrub
Antechinus_flavipes,98.25,117.75,44.5,129,146,65.5,67.5,89.5,23.5,110.5,129,52.5,86,106.5,36.5,Scansorial,No,Forest_shrub
Antechinus_bellus,108.5,127.25,43.75,118,139,53.5,99,115.5,34,115.5,134.5,54,101.5,120,33.5,Scansorial,No,Arid
Antechinus_leo,118.25,136.75,74.25,132.5,148,99,104,125.5,49.5,133.5,151,95.5,103,122.5,53,Scansorial,No,Rainforest
Dasyuroides_byrnei,135,153.75,117.5,160,170,157.5,110,137.5,77.5,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Pseudantechinus_bilarni,106.25,102.5,27.5,122.5,115,37.5,90,90,17.5,107.5,102.5,30,105,102.5,25,Terrestrial,No,Rocky
Pseudantechinus_ningbing,83.75,90,20,90,95,22.5,77.5,85,17.5,85,95,22.5,82.5,85,17.5,Terrestrial,No,Rocky
Dasycercus_cristicauda,123.75,137.5,120,147.5,170,152.5,100,105,87.5,102.5,180,147.5,145,95,92.5,Terrestrial,No,Arid
Pseudantechinus_woolleyae,77.5,105.75,40,80,108,47.5,75,103.5,32.5,75,107.5,42.5,80,104,37.5,Terrestrial,No,Rocky
Pseudantechinus_roryi,77,85,23.5,88,90,29,66,80,18,NA,NA,NA,NA,NA,NA,Terrestrial,No,Rocky
Pseudantechinus_macdonnellensis,78.75,100,32.5,82.5,105,42.5,75,95,22.5,77.5,100,35,80,100,30,Terrestrial,No,Rocky
Pseudantechinus_mimulus,67,81,17.75,73,90.5,21.5,61,71.5,14,68,85,16,66,77,19.5,Terrestrial,No,Rocky
Parantechinus_apicalis,102.5,142.5,74.5,142.5,105,99,142.5,100,50,145,110,92.5,140,95,56.5,Terrestrial,No,Arid
Dasykaluta_rosamondae,62.5,98.75,28.75,67.5,105,35,57.5,92.5,22.5,NA,NA,NA,NA,NA,NA,Terrestrial,No,Arid
Sarcophilus_harrisii,251,611,9000,251,611,11500,251,611,6500,NA,NA,NA,NA,NA,NA,Terrestrial,No,Forest_shrub
Dasyurus_hallucatus,267.25,299.75,597.5,322.5,340,905,212,259.5,290,283.5,320,730,251,279.5,465,Scansorial,No,Rocky
Dasyurus_maculatus,420,484.75,2475,485,604.5,3750,355,365,1200,460,569.5,3250,380,400,1700,Terrestrial,No,Rainforest
Dasyurus_viverrinus,222.5,362.5,1150,260,425,1500,185,300,800,240,385,1400,205,340,900,Terrestrial,No,Forest_shrub
Dasyurus_geoffroii,280,332.5,1160,330,380,1657.5,230,285,662.5,300,355,1447.5,260,310,872.5,Terrestrial,No,Forest_shrub
Vombatus_ursinus,25,995,30500,25,1150,39000,25,840,22000,NA,NA,NA,NA,NA,NA,Terrestrial,No,Forest_shrub
Lasiorhinus_latifrons,39.5,977.5,27125,57,1110,36000,27.5,845,18250,45,975,27500,39.5,980,26750,Terrestrial,No,Arid
Burramys_parvus,137,110.5,54.25,137,110.5,78.5,137,110.5,30,138,110,52.5,136,111,56,Terrestrial,Yes,Forest_shrub
Cercartetus_caudatus,139.5,105.5,32.5,151,108,40,128,103,25,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Rainforest
Cercartetus_concinnus,77,82.5,14.5,101,106,21,53,59,8,NA,NA,NA,NA,NA,NA,Scansorial,Yes,Arid
Cercartetus_nanus,90,90,29,105,110,43,75,70,15,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Rainforest
Cercartetus_lepidus,67.5,61.5,8,75,73,10,60,50,6,NA,NA,NA,NA,NA,NA,Scansorial,Yes,Arid
Wyulda_squamicaudata,300,352.5,1450,300,395,2000,300,310,900,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Trichosurus_vulpecula,325,450,2625,400,550,4000,250,350,1250,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Trichosurus_caninus,380,450,3500,420,500,4500,340,400,2500,NA,NA,NA,NA,NA,NA,Scansorial,Yes,Rainforest
Phalanger_mimicus,315,375,1850,350,400,2200,280,350,1500,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Rainforest
Spilocuscus_maculatus,372.5,464,3200,435,580,4900,310,348,1500,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Rainforest
Acrobates_pygmaeus,73,68.5,11.5,88,85,19,70,65,10,NA,NA,NA,NA,NA,NA,Arboreal,No,Forest_shrub
Tarsipes_rostratus,87.5,77.5,10.5,102.5,87.5,13.5,72.5,67.5,7.5,85,75,9,90,80,12,Scansorial,Yes,Forest_shrub
Petaurus_norfolcensis,275,205,245,330,230,300,220,180,190,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Petaurus_breviceps,187.5,185,126.25,210,210,147.5,165,160,105,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Forest_shrub
Dactylopsila_trivirgata,345,262,439.5,345,262,510,345,262,369,NA,NA,NA,NA,NA,NA,Arboreal,Yes,Rainforest
