"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Pseudocheirus_occidentalis",350,355,987.5,300,400,300,410,700,1300,NA,NA,NA,NA,NA,NA,NA,NA,700,1300,750,1200,NA,NA,NA,NA,1000,975,"Arboreal","Petauroid"
"Pseudocheirus_peregrinus",325,325,800,300,350,300,350,700,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Petauroid"
"Pseudochirops_archeri",362.5,325.5,1160.5,324,403,300,356,910,1555,324,400,324,403,305,355,300,356,910,1370,910,1555,358,367,328,323,1107,1214,"Arboreal","Petauroid"
"Pseudochirulus_cinereus",352.5,352,1000,335,368,320,395,700,1450,346,360,335,368,320,395,325,362,830,1450,700,1200,353,352,360,344,1092,908,"Arboreal","Petauroid"
"Pseudochirulus_herbertensis",357,370,1110.5,301,400,335,470,749,1555,350,400,301,376,360,470,335,410,810,1555,749,1230,370,344,377,363,1168,1053,"Arboreal","Petauroid"
"Setonix_brachyurus",465,270,3000,390,540,235,310,1600,4200,430,540,390,500,250,310,235,285,2700,4200,1600,3500,485,445,280,260,3450,2550,"Saltatorial","Macropod"
"Spilocuscus_maculatus",464,372.5,3200,348,580,310,435,1500,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Tarsipes_rostratus",77.5,87.5,10.5,65,90,70,105,7,16,65,85,70,90,70,100,75,105,7,11,8,16,75,80,85,90,9,12,"Arboreal","Petauroid"
"Thylogale_billardierii",595,368.5,5450,NA,NA,NA,NA,2400,12000,NA,NA,NA,NA,NA,NA,NA,NA,3800,12000,2400,10000,630,560,417,320,7000,3900,"Pentapedal","Macropod"
"Thylogale_stigmatica",477.5,400,4600,386,536,301,473,2500,6800,470,536,386,520,372,473,301,445,3700,6800,2500,4200,492,463,443,357,5100,4100,"Pentapedal","Macropod"
"Thylogale_thetis",470,390,5400,290,620,270,510,1800,9100,300,620,290,500,270,510,270,370,2500,9100,1800,4300,520,420,430,350,7000,3800,"Pentapedal","Macropod"
"Trichosurus_caninus",450,380,3500,400,500,340,420,2500,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Trichosurus_cunninghami",516,350,3270,490,540,340,370,2600,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Trichosurus_vulpecula",450,325,2625,350,550,250,400,1200,4500,NA,NA,NA,NA,NA,NA,NA,NA,1300,4500,1200,3500,NA,NA,NA,NA,2900,2350,"Arboreal","Phalangeroid"
"Vombatus_ursinus",985,25,26000,840,1150,NA,NA,22000,39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Vombatiform"
"Wallabia_bicolor",726.5,726.5,15000,665,847,640,862,10300,20500,723,847,665,750,690,862,640,728,12300,20500,10300,15400,756,697,761,692,17000,13000,"Pentapedal","Macropod"
"Wyulda_squamicaudata",352.5,300,1450,310,395,NA,NA,900,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arboreal","Phalangeroid"
"Notoryctes_caurinus",89.5,17,40,86,93,16,18,30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Notoryctes_typhlops",92,18.5,55,69,115,13,24,40,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Chaeropus_ecaudatus",245,125,200,230,260,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Peramelemorph"
"Echymipera_rufescens",347,87,1062.5,215,480,75,107,300,2225,278,480,215,415,75,107,75,91,525,2225,300,1200,379,315,91,83,1375,750,"Terrestrial","Peramelemorph"
"Isoodon_auratus",245,105,460,190,295,84,121,250,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Peramelemorph"
"Isoodon_macrourus",375,150,1600,300,470,80,215,500,3100,300,470,300,410,90,215,80,185,500,3100,500,1700,400,350,170,130,2100,1100,"Terrestrial","Peramelemorph"
"Isoodon_obesulus",315,118.5,755,280,360,90,145,400,1850,300,360,280,330,96,145,90,125,500,1850,400,1200,330,300,124,113,890,620,"Terrestrial","Peramelemorph"
"Macrotis_lagotis",382.5,242,1350,290,550,200,290,800,2500,300,550,290,390,200,290,200,278,1000,2500,800,1100,425,340,245,239,1750,950,"Terrestrial","Peramelemorph"
"Macrotis_leucura",237.5,141.25,354.25,200,270,120,170,NA,NA,240,270,200,240,125,170,120,150,360,435,NA,NA,255,220,147.5,135,397.5,311,"Terrestrial","Peramelemorph"
"Perameles_bougainville",201.5,92,215,173,226,81,106,168,302,179,226,173,222,81,100,84,106,168,280,170,302,201,202,91,93,212,218,"Terrestrial","Peramelemorph"
"Perameles_gunnii",305,87,870,270,350,70,110,500,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Peramelemorph"
"Perameles_nasuta",377.5,140,925,310,445,120,160,520,1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Peramelemorph"
