"Species","Bl_mm","Tl_mm","Wt_g","Bl_min","Bl_max","Tl_min","Tl_max","Wt_min","Wt_max","Bl_min_M","Bl_max_M","Bl_min_F","Bl_max_F","Tl_min_M","Tl_max_M","Tl_min_F","Tl_max_F","Wt_min_M","Wt_max_M","Wt_min_F","Wt_max_F","Bl_Av_M","Bl_Av_F","Tl_Av_M","Tl_Av_F","Wt_Av_M","Wt_Av_F","Locomotor_use","Clade"
"Pseudantechinus_bilarni",102.5,106.25,27.5,90,115,90,125,15,40,90,115,90,115,90,125,90,120,20,40,15,35,102.5,102.5,107.5,105,30,25,"Terrestrial","Dasyuromorph"
"Pseudantechinus_macdonnellensis",100,78.75,32.5,95,105,75,85,20,45,95,105,95,105,75,80,75,85,25,45,20,40,100,100,77.5,80,35,30,"Terrestrial","Dasyuromorph"
"Pseudantechinus_mimulus",85,69,17,63,91,56,76,14,25,80,90,63,91,66,70,56,76,14,18,14,25,84,86,68,70,16,18,"Terrestrial","Dasyuromorph"
"Pseudantechinus_ningbing",90,83.75,20,80,100,75,90,15,25,90,100,80,90,80,90,75,90,20,25,15,20,95,85,85,82.5,22.5,17.5,"Terrestrial","Dasyuromorph"
"Pseudantechinus_roryi",84,75,23.5,77,90,66,88,17,32,82,90,77,90,66,88,66,88,19,32,17,26,85,83,75,75,25,22,"Terrestrial","Dasyuromorph"
"Pseudantechinus_woolleyae",105.75,77.5,40,100,108,75,85,30,50,107,108,100,108,75,75,75,85,35,50,30,45,107.5,104,75,80,42.5,37.5,"Terrestrial","Dasyuromorph"
"Sarcophilus_harrisii",611,251,9000,NA,NA,NA,NA,5000,14000,NA,NA,NA,NA,NA,NA,NA,NA,8000,14000,5000,9000,652,570,258,244,11000,7000,"Terrestrial","Dasyuromorph"
"Sminthopsis_aitkeni",82.75,94,17.5,72,93,86,106,10,25,84,93,72,82,90,106,86,94,20,25,10,15,88.5,77,98,90,22.5,12.5,"Terrestrial","Dasyuromorph"
"Sminthopsis_archeri",93,91.25,16,83,107,82,105,NA,NA,98,107,83,85,92,105,82,87,12,16,NA,NA,102,84,98.5,84,14,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_bindi",73.5,84,16,52,84,61,105,12,20,58,84,52,80,62,105,61,97,NA,NA,NA,NA,75,72,87,81,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_butleri",88,90,22.5,NA,NA,NA,NA,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_crassicaudata",75,55,15,60,90,40,70,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_dolichura",74.1,92.1,13.6,63,99,84,109,10,21,63,99,63,92,88,109,84,97,11,20,10,21,74.5,73.7,94.6,89.6,14.8,12.4,"Terrestrial","Dasyuromorph"
"Sminthopsis_douglasi",125,120,55,110,135,110,130,40,70,130,135,110,125,120,130,110,120,50,70,40,60,132.5,117.5,125,115,60,50,"Terrestrial","Dasyuromorph"
"Sminthopsis_gilberti",86.5,83.5,18,81,92,75,92,14,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_granulipes",83,60,25,69,88,56,66,18,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_griseoventer",84,82,17.5,65,94,65,98,14,25,68,94,65,88,66,98,65,95,15,25,14,20,85,83,83,81,19,16,NA,"Dasyuromorph"
"Sminthopsis_hirtipes",77,85,15,72,83,72,101,13,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_leucopus",94.5,84,24,67,117,67,100,16,32,82,112,67,117,73,100,67,96,NA,NA,NA,NA,97,92,86.5,81.5,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_longicaudata",87.5,200,18,80,100,180,220,15,25,80,100,80,90,200,220,180,200,NA,NA,NA,NA,90,85,210,190,NA,NA,"Scansorial","Dasyuromorph"
"Sminthopsis_macroura",85,95,20,70,100,80,110,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Terrestrial","Dasyuromorph"
"Sminthopsis_murina",78.5,77.5,30,64,104,68,99,10,28,76,104,64,92,70,99,68,92,16,28,10,22,81,76,79,76,20,40,"Terrestrial","Dasyuromorph"
